0016529-47.2012.8.17.0480,/TJPE/AGRESTE1/CARUARU/VIOLENCIA DOMESTICA MULHER/VVDFM01/0016529-47.2012.8.17.0480
0004648-29.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0004648-29.2019.8.17.0480
0002686-68.2019.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0002686-68.2019.8.17.0480
0001658-31.2020.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0001658-31.2020.8.17.0480
0003315-85.2007.8.17.8006,/TJPE/CAPITAL/PRESIDENCIA/0003315-85.2007.8.17.8006
0000143-93.2017.8.17.1440,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV01/0000143-93.2017.8.17.1440
0000084-32.2018.8.17.0580,/TJPE/SERTAO2/EXU/VUNICA/0000084-32.2018.8.17.0580
0013951-54.2016.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM02/0013951-54.2016.8.17.0001
0001986-44.2012.8.17.8012,/TJPE/CAPITAL/PRESIDENCIA/0001986-44.2012.8.17.8012
0001244-38.2017.8.17.0480,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM01/0001244-38.2017.8.17.0480
0000158-91.2019.8.17.1440,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000158-91.2019.8.17.1440
0000167-82.2015.8.17.1120,/TJPE/SERTAO1/PETROLANDIA/CIVEL/VCIV02/0000167-82.2015.8.17.1120
0000205-69.2019.8.17.1180,/TJPE/AGRESTE1/CARUARU/CRIMINAL/VCRIM04/0000205-69.2019.8.17.1180
0006158-77.2008.8.17.8009,/TJPE/CAPITAL/PRESIDENCIA/0006158-77.2008.8.17.8009
0002905-25.2010.8.17.8005,/TJPE/CAPITAL/PRESIDENCIA/0002905-25.2010.8.17.8005
0002512-24.2011.8.17.8116,/TJPE/CAPITAL/PRESIDENCIA/0002512-24.2011.8.17.8116
0010279-92.2003.8.17.0001,/TJPE/CAPITAL/FAZENDA/VFAZ05/0010279-92.2003.8.17.0001
0000155-20.2020.8.17.8031,/TJPE/CAPITAL/PRESIDENCIA/0000155-20.2020.8.17.8031
0001247-04.2009.8.17.8036,/TJPE/CAPITAL/PRESIDENCIA/0001247-04.2009.8.17.8036
0002454-37.2010.8.17.8122,/TJPE/CAPITAL/PRESIDENCIA/0002454-37.2010.8.17.8122
0005101-84.2011.8.17.0001,/TJPE/CAPITAL/CRIMINAL/VCRIM10/0005101-84.2011.8.17.0001
